Dataset_Name,Samples
aio,"[{'original_question': 'JRのICカードで、「Suica」のマスコットキャラクターはペンギンですが、「ICOCA」のマスコットキャラクターはどんな動物でしょう？', 'original_answer': 'カモノハシ'}]"
aio,"[{'original_question': '日本のホラー映画で、貞子が登場するのは『リング』ですが、伽椰子(かやこ)が登場するのは何でしょう？', 'original_answer': '『呪怨』'}]"
aio,"[{'original_question': '国政選挙などで、その土地に全くゆかりの無い候補者のことを俗に「何候補」というでしょう？', 'original_answer': '落下傘（らっかさん）候補'}]"
aio,"[{'original_question': '「古代エジプト学の父」とされるフランスの考古学者で、ロゼッタストーンの碑文からヒエログリフの解読に成功したのは誰でしょう？', 'original_answer': 'ジャン=フランソワ・シャンポリオン［Jean-Francois Champollion］'}]"
aio,"[{'original_question': '赤レンガ倉庫、山下公園、中華街、ランドマークタワーといえば、どこの都市の観光地でしょう？', 'original_answer': '横浜'}]"
alt_jp,"[{'text': '保守党のリーダー・スティーヴン・ハーパーが彼の党が支持すると言ったので、主要な予算案、C-４３に関する第二読会投票の結果はそれほど劇的ではなかった。', 'value': '(S (S (SBAR (S (PP-SBJ (NP (NP (PP (BASENP (NNP 保守党)) (IN の)) (NN リーダー)) (COMMA ・) (BASENP (NNP スティーヴン) (NNP ・) (NNP ハーパー))) (IN が)) (VP (SBAR (S-NOBJ (PP-SBJ (NP (PP (BASENP (NN 彼)) (IN の)) (NN 党)) (IN が)) (VP (NN 支持) (VB する))) (INQT と)) (VP (VBV 言っ) (VP (MD た))))) (INCON ので)) (COMMA 、) (S (PP-SBJ (NP (PP (NP (PP (NP (BASENP (ADJP (NN 主要) (MDO な)) (NN 予算) (NN 案)) (COMMA 、) (BASENP (NN Ｃ) (NN －) (NN ４３))) (INPH に関する)) (BASENP (PRE 第) (NN 二) (NN 読会) (NN 投票))) (IN の)) (NN 結果)) (IN は)) (ADJP (ADVP (RB それほど)) (ADJP (NN 劇的) (VP (VP (MDV で) (IN は)) (VP (MDV なかっ) (VP (MD た)))))))) (PERIOD 。))'}]"
alt_jp,"[{'text': 'ニュージーランド政府は、首相のヘレン・クラーク氏に送られた、口蹄疫がワイヘキ島に意図的に伝播されたと主張する手紙への対応を迫られた。', 'value': '(S (S (PP-SBJ (BASENP (NNP ニュージーランド) (NNP 政府)) (IN は)) (COMMA 、) (VP (PP-OBJ (NP (PP (PP (NP (S-REL-NSBJ (VP (PP (NP (PP (BASENP (NN 首相)) (IN の)) (BASENP (NNP ヘレン) (NNP ・) (NNP クラーク) (NN 氏))) (IN に)) (VP (VP (VBO 送ら) (VP (VBV れ))) (VP (MD た))))) (COMMA 、) (NP (S-REL-NSBJ (VP (SBAR (S (PP-SBJ (BASENP (NN 口蹄疫)) (IN が)) (VP (PP (BASENP (NNP ワイヘキ) (NNP 島)) (IN に)) (VP (ADVP (ADJP (NN 意図) (NN 的)) (INRB に)) (VP (VP (VP (NN 伝播) (VBO さ)) (VP (VBV れ))) (VP (MD た)))))) (INQT と)) (VP (NN 主張) (VB する)))) (NN 手紙))) (IN へ)) (IN の)) (NN 対応)) (IN を)) (VP (VP (VBO 迫ら) (VP (VBV れ))) (VP (MD た))))) (PERIOD 。))'}]"
alt_jp,"[{'text': '近隣住人による苦情を受け、動物管理局員は女性が亡くなった時、急いで犬を探した。', 'value': '(S (S (SINV (VP (PP-OBJ (NP (PP (BASENP (NN 近隣) (NN 住人)) (INPH による)) (NN 苦情)) (IN を)) (VBV 受け)) (COMMA 、) (PP-SBJ (BASENP (NNP 動物) (NNP 管理) (NNP 局) (NN 員)) (IN は))) (S (SBAR (S (PP-SBJ (BASENP (NN 女性)) (IN が)) (VP (VBV 亡くなっ) (VP (MD た)))) (NN 時)) (COMMA 、) (S-NSBJ (VP (ADVP (VBV 急い) (INCON で)) (VP (PP-OBJ (BASENP (NN 犬)) (IN を)) (VP (VBV 探し) (VP (MD た)))))))) (PERIOD 。))'}]"
alt_jp,"[{'text': 'アンティグアで休日中に妻と共に撃たれたイギリス人のベンジャミン・Mullanyが死亡した。', 'value': '(S (S (PP-SBJ (NP (S-REL (PP (BASENP (NNP アンティグア)) (IN で)) (S (PP (BASENP (NN 休日) (NN 中)) (IN に)) (S (PP (BASENP (NN 妻)) (INPH と共に)) (S-NSBJ (VP (VP (VBO 撃た) (VP (VBV れ))) (VP (MD た))))))) (NP (PP (BASENP (NNP イギリス) (NN 人)) (IN の)) (BASENP (NNP ベンジャミン) (NNP ・) (NNP Ｍｕｌｌａｎｙ)))) (IN が)) (VP (VP (NN 死亡) (VBV し)) (VP (MD た)))) (PERIOD 。))'}]"
alt_jp,"[{'text': '彼はたった8メートル（26.2フィート）の距離から、オランダのゴールキーパー、マールテン・ステケレンブルフのわきにボールをなんとか通した。', 'value': '(S (S (PP-SBJ (BASENP (NN 彼)) (IN は)) (VP (PP (NP (PP (NP (BASENP (QP (RB たった) (NN ８)) (NN メートル)) (PRN (LRB （) (BASENP (NN ２６．２) (NN フィート)) (RRB ）))) (IN の)) (NN 距離)) (IN から)) (COMMA 、) (VP (PP (NP (PP (NP (NP (PP (BASENP (NNP オランダ)) (IN の)) (NN ゴールキーパー)) (COMMA 、) (BASENP (NNP マールテン) (NNP ・) (NNP ステケレンブルフ))) (IN の)) (NN わき)) (IN に)) (VP (PP-OBJ (BASENP (NN ボール)) (IN を)) (VP (ADVP (RB なんとか)) (VP (VBV 通し) (VP (MD た)))))))) (PERIOD 。))'}]"
aozorabunko,"[{'title': '作家山本人間有三', 'text': '「作は人なり」といふ言葉は、言ひ古された言葉だが、これは正面から解釈をすると当らぬ場合がある。作品の一つ一つを取つてみても、ある作家の作品全体についてみても、この人にしてこの作ありとは、聊か意外だと思ふやうなことがある。それはつまり、ある作家は、自分のうちに「有る」ものを直接に現はさず、自分の心に「映る」ものを、好んで表面に出さうとするからである。その「映り」方や「出し」方に、その作家の「人」が浮び出ると云へば云へるのだが、さういふ種類の作家は、往々、好んで、自分のうちに「無い」ものを求めて、これに興味をもつものであるから、作品の姿や、調子からでは、その「人」の姿や調子は掴み出せないのが骨である。前者が「生み出す作家」だとすれば、後者は「作り出す作家」であると云へよう。さて、わが山本有三は、極めて例外的な作家で、この二つの傾向を、創作の二つの過程に取り入れ、「生みながら作り出す」非凡な事業に成功してゐるのである。彼の作品が、厳粛で、壮年的で、渋味を貴ぶにも拘はらず、誰にも興味をもたれるだけの普遍性があり、誰をも感動させる熱と力とがあり、従つて、今日、「最も勢望ある作家」の一人となつた所以は、しかし、たゞ、そこにあるのではない。彼は、その作品に、彼自身のあらゆる美徳――日本人が、古来、最も愛して来た美徳の数々を盛つてゐる。彼の作品に、一つの顕著な風貌を与へるとすれば、それは、恐らく、「頼母しさ」であらう。われわれの歴史は、実に、この一語に、あらゆる道徳的陶酔の秘密を託して来た。私が、彼の戯曲の悉くにいまいましくも涙をしぼらされ、「何故に泣いたか」を考へてみると、それら戯曲中の人物が、あまりにも「頼母しすぎる」からだと云ひきれるのだ。だが、こんなことばかり云つてゐてはならぬ。私は、彼の戯曲家としての才能――日本近代劇山脈の高峰として、彼の傑作が、如何なる美学的特色をもつて現はれたかを語らなければならないが、残念ながら、紙数に制限がある。彼の劇的作品は、手法の上からみて、二種類に分けることができる。第一は、所謂伝統的ドラマツルギイの定石を踏んだストリンドベリイ的作品、第二は、新しい戯曲美の要素から成り立つチェーホフ的作品である。「嬰児殺し」「同志の人々」「坂崎出羽守」等は前者に属し、「女中の病気」「海彦山彦」「西郷と大久保」等は後者に属してゐる。そして不思議なことには、この分類は、必ずしもその制作年代の順を追つてゐないことだ。この事実は、彼の芸術的霊感が、徒らに理論と時流に左右されず、常に独自の面目を発揮してゐる証拠である。最後に、彼の小説「波」が、この集に加へられたことをよろこばなければならぬ。なぜなら、この一作によつて、大劇作家山本有三は、忽如として、大小説家たる一面を示し、わが文学史に、貴重な頁を増すこととなつたからである。戯曲に於て、人間有三の眼ざしを感じ得なかつた読者観客は、この小説で、明かに、鮮やかに、その「頼母しき」作者の心に触れ得るだらう。そして、その「心」は、諸君に、「人生の光」を与へるだらう。', 'class': '評論、エッセイ、随筆', 'all_class': '評論、エッセイ、随筆 - 小説、物語 - 詩歌 - 日記、書簡、紀行'}]"
aozorabunko,"[{'title': '世界的文化の母胎', 'text': 'この度大政翼賛会文化部長就任の交渉を受諾致しました。この部の仕事についてはまだ具体的に研究はしてゐませんが、何れ各方面の方々とお打合せをした上で職務上の責任の範囲を心得たいと思つて居ります。私は元来政治といふものに余り興味を持たなかつたのでありますが、それは狭い意味における政治でありまして、大政翼賛と言ふ名に於ける広い意味の政治が最も厳粛な形で今新しく国民全体の心をふるひたたしめてゐる時、私もまた国民の一人として、周囲の状勢が命ずる所に赴くことを大きな光栄と感じる次第であります。文化といふ問題について、之もごく広い意味に私は解釈したいと存じます。今日まで比較的閑却せられてゐたこの種の政策が、国防国家建設の体制の中に取入れられたことを私は決して偶然だとは信じません。国家総動員の一重要資材たる国民の精神力は、文化の健全な基礎の上でなければ旺盛な発揮をみることは出来ないのであります。元より文化問題を取扱ふ上に於て平時との相違は大いにあります。つまり国防国家の求める文化統制は平時に於ては是とされる一部の傾向を排撃し、抑制しなければなりません。しかし乍ら一方我々は新しい秩序をもたらす指導民族としての重大な役割を自ら負うてゐるのでありまして、所謂非常時局は国家千万年の生命に比べて、これは一つの限られた瞬間であります。この期間に醸成される国民文化の特質がその後に来るべき時代のために禍となるやうなものであつてはなりません。我々が子孫に残す文化的遺産が非常時以外に通用しないやうなもの、国民生活を低く貧しくするやうなものであつては由々しいことであります。現代日本の文化創造はそれ自体として、他の諸民族の上に長く光被して、真に世界的文化の母胎となると言ふことが理想だと信じます。この意味に於て今日の文化政策が、周到な用意を以て考へられ、国民の思想と日常生活の上に明確な指標と実行力を与へうるやう私はそれ／″＼の方面に働きかける心算であります。国民各自はこの領域に限つて乏しきを忍ぶ必要はありません。伸びるだけ伸び、得られるだけを得ればよいのです。豊かな喜びが、ここでは国民の意気と力強さを示し得るのであります。', 'class': '評論、エッセイ、随筆', 'all_class': '評論、エッセイ、随筆 - 小説、物語 - 詩歌 - 日記、書簡、紀行'}]"
aozorabunko,"[{'title': '今年発表の作品', 'text': '「Ｆ村での春」「西瓜喰ふ人」「鱗雲」「山を越えて」「昔の歌留多」「藪のほとり」「雪景色」以上七篇、生活の上ではかなり努力したつもりだが斯うして題名をかぞへて見ると大変に空虚を感じる。', 'class': '評論、エッセイ、随筆', 'all_class': '評論、エッセイ、随筆 - 小説、物語 - 詩歌 - 日記、書簡、紀行'}]"
aozorabunko,"[{'title': '「風知草」創作メモ', 'text': '重吉ひろ子富井行雄伸一健吉小枝永田弁護士村上さん（鈴）清瀬さん（近）┌───────┐│山代弁護士││上野駅│吉岡（佐）│事務所│└───────┘十三日十四日電報海よ早くしずまれ。〔欄外に〕┌───────────────┐│あらゆるものごしの初々しさ││一直線│└───────────────┘┌─────────┐│目白の家｜物干し│巣鴨の夏）└─────────┘自立会畑の中の家赤旗一号への感情電気溶接学校ときいてゆくアカハタ編輯局あのベンチ経歴書を出すかい？（前後）〔欄外に〕ニュース一人かえって来る重吉の姿┌あの二階大会┤のびかかった髪の毛└二百人の人でぎっしり', 'class': '評論、エッセイ、随筆', 'all_class': '評論、エッセイ、随筆 - 小説、物語 - 詩歌 - 日記、書簡、紀行'}]"
aozorabunko,"[{'title': '「洋装か和装か」への回答', 'text': '日本服も洋服も、本ものなら負けず劣らず美しいからすきです。自分がきるのでは、現在の自己の環境のために和装一方です。〔一九二五年一月〕', 'class': '評論、エッセイ、随筆', 'all_class': '評論、エッセイ、随筆 - 小説、物語 - 詩歌 - 日記、書簡、紀行'}]"
conceptnet5,"[{'rel': 'PartOf', 'arg1': 'スクリュー', 'arg2': '船', 'all_rels': 'SymbolOf, MadeOf, UsedFor, SimilarTo, EtymologicallyRelatedTo, FormOf, DefinedAs, HasPrerequisite, Synonym, CapableOf, HasSubevent, HasContext, MannerOf, PartOf, HasLastSubevent, CausesDesire, DerivedFrom, Causes, HasFirstSubevent, RelatedTo, Desires, HasProperty, IsA, HasA, NotDesires, AtLocation, DistinctFrom, InstanceOf, MotivatedByGoal, EtymologicallyDerivedFrom, Antonym, ExternalURL'}]"
conceptnet5,"[{'rel': 'AtLocation', 'arg1': '飴玉', 'arg2': '卓上', 'all_rels': 'SymbolOf, MadeOf, UsedFor, SimilarTo, EtymologicallyRelatedTo, FormOf, DefinedAs, HasPrerequisite, Synonym, CapableOf, HasSubevent, HasContext, MannerOf, PartOf, HasLastSubevent, CausesDesire, DerivedFrom, Causes, HasFirstSubevent, RelatedTo, Desires, HasProperty, IsA, HasA, NotDesires, AtLocation, DistinctFrom, InstanceOf, MotivatedByGoal, EtymologicallyDerivedFrom, Antonym, ExternalURL'}]"
conceptnet5,"[{'rel': 'ExternalURL', 'arg1': '牡丹江市', 'arg2': 'http:', 'all_rels': 'SymbolOf, MadeOf, UsedFor, SimilarTo, EtymologicallyRelatedTo, FormOf, DefinedAs, HasPrerequisite, Synonym, CapableOf, HasSubevent, HasContext, MannerOf, PartOf, HasLastSubevent, CausesDesire, DerivedFrom, Causes, HasFirstSubevent, RelatedTo, Desires, HasProperty, IsA, HasA, NotDesires, AtLocation, DistinctFrom, InstanceOf, MotivatedByGoal, EtymologicallyDerivedFrom, Antonym, ExternalURL'}]"
conceptnet5,"[{'rel': 'ExternalURL', 'arg1': '聖骸布', 'arg2': 'http:', 'all_rels': 'SymbolOf, MadeOf, UsedFor, SimilarTo, EtymologicallyRelatedTo, FormOf, DefinedAs, HasPrerequisite, Synonym, CapableOf, HasSubevent, HasContext, MannerOf, PartOf, HasLastSubevent, CausesDesire, DerivedFrom, Causes, HasFirstSubevent, RelatedTo, Desires, HasProperty, IsA, HasA, NotDesires, AtLocation, DistinctFrom, InstanceOf, MotivatedByGoal, EtymologicallyDerivedFrom, Antonym, ExternalURL'}]"
conceptnet5,"[{'rel': 'IsA', 'arg1': '住人', 'arg2': '医師', 'all_rels': 'SymbolOf, MadeOf, UsedFor, SimilarTo, EtymologicallyRelatedTo, FormOf, DefinedAs, HasPrerequisite, Synonym, CapableOf, HasSubevent, HasContext, MannerOf, PartOf, HasLastSubevent, CausesDesire, DerivedFrom, Causes, HasFirstSubevent, RelatedTo, Desires, HasProperty, IsA, HasA, NotDesires, AtLocation, DistinctFrom, InstanceOf, MotivatedByGoal, EtymologicallyDerivedFrom, Antonym, ExternalURL'}]"
copa,"[{'premise': 'スタジアムで国歌が演奏された。', 'answer1': 'ファンは旗に目を向けた。', 'answer2': 'ファンはグラウンドに殺到した。', 'label': 1}]"
copa,"[{'premise': '雨が降り始めた。', 'answer1': '運転手はヘッドライトを点灯した。', 'answer2': '運転手は車のギアを後進に入れた。', 'label': 1}]"
copa,"[{'premise': 'ティーンエイジャーは[彼の](ティーンエイジャーの)父親より背が高くなった。', 'answer1': '[彼](ティーンエイジャー)は急激に成長した。', 'answer2': '[彼](ティーンエイジャー)はバスケットボール・チームに加わった。', 'label': 1}]"
copa,"[{'premise': '男性が医者に診てもらいに行った。', 'answer1': '医者は休暇中であった。', 'answer2': '男性は体調が優れなかった。', 'label': 2}]"
copa,"[{'premise': '投げ矢が標的を外れた。', 'answer1': '男性の狙いは外れた。', 'answer2': '男性は試合に負けていた。', 'label': 1}]"
flan2022,"[{'inputs': 'You are given a sentence in Japanese. Your job is to translate the Japanese sentence into Hebrew.\n--------\nQuestion: 自転車基盤のイノベーションはこんなにあります噴霧器自転車や道の衝撃でエネルギーを蓄える自転車\n\nAnswer: ותראו את כל המגוון הזה של המצאות מבוססות אופניים: אופניים שהם מרסס, אופניים שמחוללים אנרגיה מהזעזועים בדרכים.\n\n\nQuestion: そこは「常に危険な底辺校」と分類されていましたテストのスコアが低く武器やドラッグの持ち込み暴行、逮捕事件が多いのです\n\nAnswer: הוא תויג כ ״ בעל רמת השגיות נמוכה ומסוכן בעקביות ״ הודות לרמת הציונים הנמוכה שלו ומספר גבוה של כלי נשק, סמים, תקיפות ומעצרים.\n\n\nQuestion: 将来的にこうした試みがマッシュアップされたら一体何ができるか ？ 想像してみてください誰かが素敵な目標のために 100万ドルを懸賞に出したらどうなるか ？ 昨年アメリカでは21件の100万ドル以上の寄付がなされましたたいしたことではありませんでももし世界中の多くの人たちの小さな寄付が同じくらい集まるとしたらどうでしょう ？ 掲げられた目標へのプロセスを公開して多くの人たちが関わっていけるようにするのです\n\nAnswer:', 'targets': 'תארו לעצמכם את השילוב של כל אלה, בעתיד. כשכל אלה יתחברו כחלק מהניסויים בעתיד — תארו לעצמכם, למשל, שמישהו יתרום מאה מיליון דולר למען מטרה מעוררת-השראה — ניתנו 21 מתנות בסכום כזה או יותר בארה """" ב לפני שנה, לא בלתי מתקבל-על-הדעת — אבל הוא יתרום את זה רק כנגד מיליוני מתנות קטנות מכל העולם. ובכך יגייס המון אנשים, יבנה שקיפות ויערב בני-אדם במטרה המוצהרת.\n\n\n'}]"
flan2022,"[{'inputs': 'Given the task definition and input, reply with output. You are given a sentence in Persian. Your job is to translate the Farsi sentence into Japanese.\n\nاخیرا ، نماینده \u200c ی ترکیه \u200c ای « خبرنگاران بدون مرز » ارول اندروگلو بازداشت شده و متهم به اشاعه \u200c ی پروپاگاندای ترورسیتی شده به خاطر این \u200c که او و تعدادی دیگه از فعالان از رسانه \u200c ی کرد حمایت می \u200c کردن\n', 'targets': '最近では国境なき記者団のトルコ代表 — エロル・オンデルオールは活動家数名と共にクルド人メディアを支援したとしてテロリストのプロパガンダを広めた罪で拘束起訴されています'}]"
flan2022,"[{'inputs': 'Q: You are given a sentence in Hebrew. Your job is to translate the Hebrew sentence into Japanese.\nואז הם מבינים שאני צודק!\nA:', 'targets': '私が正しいことに気づくのです'}]"
flan2022,"[{'inputs': 'Part 1. Definition\nYou are given a sentence in Galician. Your job is to translate the Galician sentence into Japanese.\nPart 2. Example\nTerán seguro para pagar a receita?\nAnswer: 処方箋を支払う為の保険は ？\nExplanation: The Galician sentence is correctly translated into Japanese, because the meaning is preserved.\nPart 3. Exercise\nUn videoxogo ben deseñado tecerá sen problemas ao usuario na fábrica da experiencia virtual.\nAnswer:', 'targets': 'よくできたゲームは違和感なく仮想体験の中にプレーヤーを引き込む'}]"
flan2022,"[{'inputs': 'The provided file includes inquiries about restaurants, and we ask you to translate those to the Japanese language. Please bear in mind the following guidlines while doing the translation: 1) We are looking for the most naturally written and formal form of each sentence in your language. We are *NOT* looking for colloquial forms of the sentence. We are looking for formal form which is how you would type your queries in a text-based virtual assistant. 2) The words between quotation marks *SHOULD NOT* be translated. We expect you to keep those values intact and include the quotation marks around them as well. 3) The fully capitalized words like DATE_0, or DURATION_0 *SHOULD NOT* be translated. Please keep them as they are in the translations. 4) Please do not localize measurement units like miles to kilometers during your translation. miles should be translated to its equivalent in your language. 6) Note the input is all lowercased except for special placeholders. Please do the same in your translations.\n\n[Q]: i would like all restaurants with 9 stars and above .\n[A]: 評価が9星以上のすべてのレストランを教えてください。\n\n\n[Q]: show description of the closest 3 star restaurant .\n[A]: 最寄りの3つ星レストランの情報を見せて。\n\n\n[Q]: look up a "" mexican "" restaurant for me .\n[A]:', 'targets': '"" mexican "" レストランを探してください。\n\n\n'}]"
