Dataset_Name,Samples
journal_latex,"[{'abstract': '現在，統計的言語モデルの一クラスとして確率文脈自由文法 (PCFG)\nが広く知られている．また，括弧なしコーパスからPCFGを訓練する方法\nとして Inside-Outside (I-O)アルゴリズムが知られてきた．\nI-O アルゴリズムは PCFG 用に効率化を施した EM\n(expectation-maximization) アルゴリズムだが，\n依然その計算速度に問題があることが知られている．\n本論文では，文法構造があらかじめ与えられていることを前提に，\n訓練過程を構文解析とEM学習に分離した高速 EM 学習法を提案する．\nその中間データ構造にパーザが生成する WFST\n(well-formed substring table) を用いる．\n例えば，一般化LRパーザを用いると事前コンパイル・ボトムアップ\n探索による効率性，および Chomsky 標準形を要求しないという一般性を\n引き継ぐことができる．\n一方EM学習では，WFSTのコンパクトさを利用して\n効率的なパラメタ推定が行なわれる．\n推定結果は I-O アルゴリズムで得られるものと一致する．\n更に，文脈依存性を取り入れたPCFGの拡張モデルに対する多項式オーダの\nEM学習法を示す．また，ATR対話コーパスを用いて実験を行ない，\n訓練時間が大幅に短縮されていることを確認した．', 'title': 'bf WFSTに基づく確率文脈自由文法およびその\n\t拡張文法の高速EM学習法', 'keywords': '確率文脈自由文法，EMアルゴリズム，\tInside-Outsideアルゴリズム，WFST'}]"
journal_latex,"[{'abstract': '近年の高度情報化の流れにより，自動車にも種々の情報機器が搭載\n  されるようになり，その中で音声認識・合成の必要性が高まってい\n  る．本研究は音声合成を行うための日本語解析の中で基本となる，\n  文節まとめあげに関する研究報告である．\n  従来の文節まとめあげは，人手規則による手法と機械学習による手\n  法の二つに大きく分けられる．前者は，長年の努力により非常に高\n  い精度を得られているが，入力データ形式が固定であるために柔軟\n  性に欠け，人手で規則を作成・保守管理するため多大な労力を要し，\n  車載情報機器へ実装するには問題が大きい．また後者は，それらの\n  問題に柔軟に対処できるが，精度を向上させるためにアルゴリズム\n  が複雑化しており，その結果開発期間が延長するなどの問題が生じ，\n  車載情報機器には不向きである．\n  そこで本研究は，決定リストを用いる手法を発展させ，複数の決定\n  リストを順に適用するだけという非常に簡明な文節まとめあげの手\n  法を提案する．決定リストの手法は非常に単純であるが，それだけ\n  では高い精度が得られない．そこで，決定リストを一つではなく複\n  数作成し，それぞれのリストを最適な順序に並べて利用することに\n  より精度向上を図った．この結果，京大コーパスの最初の10000文\n  を学習コーパス，残りの約10000文をテストコーパスとして実験を\n  行ったところ，非常に簡明な手法ながら，99.38\\%という高い精度\n  を得られた．', 'title': '複数決定リストの順次適用による文節まとめあげ', 'keywords': '文節まとめあげ,決定リスト'}]"
journal_latex,"[{'abstract': 'カスタマサービスとして，ユーザから製品の使用方法等についての質問を受けるコールセンターの需要が増している．ユーザからの質問に的確に応答するためには，次々に開発される新製品の知識が必要となる．応対するオペレータは，過酷な業務のため定着率が低く，企業にとってもレベルの高い人材を継続して維持することは，人件費や教育などのコストがかかり，問題となっている．\\\\\n本研究は，ユーザが自ら問題解決できるような，対話的ナビゲーションシステムを実現する基礎技術を開発することにより，コールセンターのオペレータ業務の負荷を軽減することを目的とする．Web上での質問応答システムにおいてユーザが初期に入力する自然言語による状況説明や質問文を分析したところ，20文字以下の質問文が7割を占めていた．一方，コールセンターでは，オペレータが，過去のユーザとのやり取りの結果を，質問と応答の要約文として蓄積している．そこで，本研究では，ユーザが初期に入力する20文字前後の比較的短い質問文を対象とし，その質問文から，コールセンターで蓄積した過去の質問の要約文を引き出し，それに予め付与された応答をそのまま回答する手法を採用する．しかし，ユーザの与える20文字以下の短い質問文と蓄積された要約文との単純なマッチングでは，多数の要約文が引き出されることが多いため，システムからユーザに新たなキータームの入力を促してユーザの意図する適切な要約文に速やかに到達できるような対話的ナビゲーション技術の開発が最も重要な研究課題となっている．対話的ナビゲーションを実現するために，ユーザが初期に入力した質問文中のどのようなタームが最適な要約文の検索に重要であるかを判定する方式として，入力した質問と要約文とのマッチングが成功したものから一定の基準によってタームを変更する方式（サクセスファクタ分析方式と呼ぶ）を開発した．この分析の結果から，主辞を修飾するタームをユーザの質問文に対して対話的に補うことがマッチングの精度に大きく影響し，極めて有効なことを実験的に明らかにした．', 'title': '初期質問文から蓄積された質問応答への効果的マッチング法', 'keywords': 'コールセンター，ナビゲーション，質問応答，初期質問文，サクセスファクタ分析方式'}]"
jp_emoticon,"[{'text': 'それにしても居ないと快適ってパパさん可哀想', 'sentiment': 'negative', 'emotion': 'sad', 'all_emotions': 'relief, joy, dislike, sad, fear, like, anger'}]"
jp_emoticon,"[{'text': 'まあれとかあれとか言っても良いんですがね勝利', 'sentiment': 'positive', 'emotion': 'joy', 'all_emotions': 'relief, joy, dislike, sad, fear, like, anger'}]"
jp_emoticon,"[{'text': 'ポジティブに行かんとダメですよね', 'sentiment': 'positive', 'emotion': 'joy', 'all_emotions': 'relief, joy, dislike, sad, fear, like, anger'}]"
jp_emoticon,"[{'text': '私の扱いにめっちゃ困ってそうよ', 'sentiment': 'negative', 'emotion': 'dislike', 'all_emotions': 'relief, joy, dislike, sad, fear, like, anger'}]"
jp_emoticon,"[{'text': 'ムスコが産まれてから上の子が可愛いと前ほど思えなくなりイライラする毎日なんです', 'sentiment': 'negative', 'emotion': 'anger', 'all_emotions': 'relief, joy, dislike, sad, fear, like, anger'}]"
jp_fakenews,"[{'text': '毎日新聞と朝日新聞によると、15日午前6時、フロリダ州の沿岸都市ジェファーソンで、ジャズバー「シャーウェイ」を経営するウィリー・コーリー・ケイバーが、17日午後11時、ニューヨーク市ブルックリン区のマンハッタン区のマンハッタン・ブルックリン・ブルネル空港から、24時間以内にとの命令を受けて、ジェファーソンで、空港敷地内のロックンロール・ライドを開始した。その後、ロックンロール・ライドは、19日の午後11時に、ジェファーソン市域の約2000km西の、マンハッタン市の中心部にある、ロックンロール・ラインのエリアに、ジェファーソン市郊外、ペンシルベニア州に隣接する街区のチェスターフィールド区まで進むように進み、夜の8時の到着に備えた。午前中の3日後の午前6時、ジェファーソンの東約100km、ニューヨークの郊外には55kmを超える土地で、かつ、かつて、ジェファーソン市郊外のエリアにあった、ジェファーソンの都市圏の中心地であった「スターウッド」のある都市圏では、23日の午前中に到着予定であった。しかしながら、南アメリカの各地で台風19号の接近によって、50日はジェファーソン市郊外から先のエリアへの移動が遅れた。午後3時、ロック・シティの「チェリー・ライト・ハウス」の経営者であるジョニー・ウォーカーが、14日の午前中に到着できる見込みであると報じられた。16日午前1時に「チェリー・ライト・ハウス」は、ジェファーソンの郊外のエリアに到着した。午前9時、同市郊外のマンハッタン区に到着し、ホテルに入り、チェリー・ライト・ハウスに泊まる予定であったが、13日にはこのエリアのエリアは、ジェファーソン市郊外からの移動を含めて4つの地域から、さらに3カ月遅れている状況になった。', 'label': '完全にフェイク（記事の全体をAIモデルが生成した）', 'all_labels': 'オリジナルの記事（人間が執筆した）/部分的にフェイク（記事の後半をAIモデルが生成した）/完全にフェイク（記事の全体をAIモデルが生成した）'}]"
jp_fakenews,"[{'text': 'スポーツニッポンによると、その後、クリントン氏は5日にヒラリー・クリントン元アメリカ合衆国大統領とワシントンD.C.で会合し、彼らは「2人は全く変わっていなく、私たちが新しい仲間ではないという認識に同意した」と主張した。ヒラリー・クリントン氏の大統領就任後、CCI(Conselcaputational Congression; アメリカ合衆国保守派インターナショナル)は、アメリカ合衆国における民主党支持層の拡大を強く牽制した。アメリカ国家安全保障局(NSA)は、アメリカにおける反体制派の指導者の政治的地位を強化した。', 'label': '完全にフェイク（記事の全体をAIモデルが生成した）', 'all_labels': 'オリジナルの記事（人間が執筆した）/部分的にフェイク（記事の後半をAIモデルが生成した）/完全にフェイク（記事の全体をAIモデルが生成した）'}]"
jp_fakenews,"[{'text': '第47回衆議院議員総選挙が12月2日公示され、全国で1191人が立候補して、12月14日の投開票へ向けた12日間の選挙戦の火ぶたが切られた。今回の選挙は2012年12月以来の2年ぶりとなる。衆議院の定数は、小選挙区の議席を5つ減らす「0増・5減」の法律が適用され、全体の議席数は475議席となる。今選挙では、安倍晋三首相の掲げる経済政策、いわゆるアベノミクスを最大の争点とし、原発などのエネルギー政策、外交・安全保障・社会保障政策についても議論が交わされるとみられている。今回の選挙に小選挙区から立候補したのは959人となる。立候補者の人数に関しては、現在の「小選挙区比例代表並立制度」の下で行われている選挙では2005年の989人を下回る過去最低の人数となった。比例代表選挙（比例区）の単独立候補を含めた候補者総数の1191人は、2005年の1131人こそ上回るものの、2年前の2012年選挙時に立候補した1504人と比較して8割の人数にとどまった。立候補者の減少に関して当記事の情報源のひとつである読売新聞は、野党が推す候補が少なかったこと、小選挙区での候補を一本化したことを理由として挙げている。主な政党の候補者数は、自民党は選挙区で前職を中心に283人、公明党も前職9人を立候補するなど、自公連立与党で全国292の選挙区に候補者を擁立した。一方民主党は他の野党との候補者の一本化を進めたこともあり、選挙区での候補者数は過去最少の178人。また維新の党も前身の日本維新の会として立候補した前回の約半数に当たる77人にとどまった。次世代の党は選挙区に39人、日本共産党も沖縄県の3つの選挙区以外の292選挙区に立候補者を擁立している。比例区には11の政党・政治団体が候補者名簿を申請・受理され、自民党が341人、公明党が42人、民主党が197人など、小選挙区との重複立候補を含めて841人が立候補した。安倍氏は、今回の勝敗ラインを、自公連立与党で今回の改選過半数に当たる238議席以上とみているが、両党の執行部は全部の常任委員会で委員長を独占し、かつ各委員会で過半数が確保できる266議席以上の絶対安定多数の確保を目指している。その一方民主党は、今回候補者数が1998年に結党以来過去最少となったことを受け、「政権交代」の旗は降ろしたうえで100議席以上獲得を目標としているほか、維新の党も公示前の42議席を維持できるかがテーマとなる。各政党ごとの候補者数は以下の通りである。', 'label': 'オリジナルの記事（人間が執筆した）', 'all_labels': 'オリジナルの記事（人間が執筆した）/部分的にフェイク（記事の後半をAIモデルが生成した）/完全にフェイク（記事の全体をAIモデルが生成した）'}]"
jp_fakenews,"[{'text': '時事通信・共同通信によると、1963年のロサンゼルス五輪代表メンバーとして、世界選手権競技大会（カナダ）アジア予選・グループリーグ敗退を含む1度の日本杯敗退の後、1969年のアジア予選に出場、同年3月、スイス戦で代表初得点を決めた。長沼氏は日本人選手としても1956年のワールドカップアメリカ大会には参加。1963年には世界選手権の代表メンバーに選出され、30年ぶりの世代交代も兼ね出場した。1968年のワールドカップ、1969年のアジア予選には、長沼氏はグループリーグの中国戦や南アフリカ戦、日本戦で得点を決め代表の4連覇を達成した。さらに1976年には全日本大学強化選手が集まるロサンゼルス五輪にも出場するなど、現役時代に日本代表として13度の五輪出場を果たした。日本サッカー選手権（1973年）・オリンピック・世界選手権（1994年）・世界選手権代表（2000年）でも2度の五輪出場を果たし、2000年には1976年アテネオリンピックで金メダルを獲得した。1957年から1980年まで東京12チャンネル（現・テレビ東京）の解説者を務め、長沼氏の功績が認められ『Goal!』『サッカー批評』などの著書を手がけた。1994年3月12日、79歳で死去。', 'label': '完全にフェイク（記事の全体をAIモデルが生成した）', 'all_labels': 'オリジナルの記事（人間が執筆した）/部分的にフェイク（記事の後半をAIモデルが生成した）/完全にフェイク（記事の全体をAIモデルが生成した）'}]"
jp_fakenews,"[{'text': 'Impress WatchによるとCVシリーズに登場するキャラクターの名称は、1985年の初音ミク単独キャラクター誕生以来使用されていなかった「初音ミク」「鏡音リン・レン」が含まれる。なお、CVシリーズに登場するキャラクターには「初音ミク」・「鏡音レン」は含まれていない。その場合初音ミク単独キャラクターの名称を用いることになるが、本稿では便宜的に「初音ミク」「鏡音リン・レン」について述べる。第3弾シリーズは「初音ミク」「鏡音リン・レン」を基にしている。その際、「初音ミク」「鏡音リン・レン」は現在、公式に発表がされているシリーズでは唯一、オリジナル・カラーのキャラクターとして認識されなくなっている。CV03は、2019年7月23日から24日にかけて開催されたイベント「初音ミク&鏡音リン・レン ANNIVERSARY CONFIDENTAList 2019」でCV03として先行公開された。CV00が発表された時点では新たに発売することになっている。', 'label': '部分的にフェイク（記事の後半をAIモデルが生成した）', 'all_labels': 'オリジナルの記事（人間が執筆した）/部分的にフェイク（記事の後半をAIモデルが生成した）/完全にフェイク（記事の全体をAIモデルが生成した）'}]"
jp_newspapers,"[{'title': '文書通信費の使途公開\u3000首相の及び腰理解できぬ', 'text': '一般社会では当たり前のことである。なぜ自民党はやろうとしないのか。 国会議員に月額100万円が支給される文書通信交通滞在費（文通費）の運用見直しだ。野党が求める「使途の公開」に自民党は難色を示している。理解に苦しむ。 発端は、10月31日投票の衆院選で初当選した議員らに、在職1日にもかかわらず10月分が満額支給されたことだ。 日本維新の会の新人が問題提起し、法改正が必要だとの認識で与野党が一致していた。 文通費は、議員活動に伴う書類の印刷代や切手代、電話代などを賄うものだ。月額約129万円の歳費（給与）と年2回の期末手当とは別に、毎月支給される。 領収書が不要なため、使い道がチェックされない。私設秘書の給与補塡（ほてん）などにも流用されかねず、余っても返還の義務はない。「第2の給与」とも呼ばれ、以前から問題視されていたが、国会は長年にわたり放置してきた。 今回、使途公開を義務付け、残額の国庫返納も可能とする法案を、維新、立憲民主党など野党が相次いで提出したのは当然だ。 にもかかわらず、自民党は支給を日割りにするだけの改正でお茶を濁そうとしている。「公開基準を決めるのに時間がかかる」との理屈を持ち出し、与野党協議は暗礁に乗り上げている。今国会での法改正は難しい状況だ。 民間企業の経費なら領収書を付けての実費精算が常識である。地方議会でも、政治活動にかかる経費「政務活動費」の使途を巡り、領収書の公開が進んでいる。 後ろめたい支出でなければ、国会議員の場合も公開して何ら問題はないはずだ。 自民党は「全会派が合意の上で進めるべきだ」と主張しているが、自民、公明両党が同意すれば済む話である。 自民党総裁の岸田文雄首相は「各党が合意を得る努力を重ねる必要がある」と国会で語るだけで、及び腰だ。だが、総裁選では政治資金の「透明性を確保する」と強調していたのではなかったか。 文通費の原資は税金である。「政治とカネ」の問題で失った国民の信頼を取り戻したいなら、まずは足元の問題から取り組むべきだ。'}]"
jp_newspapers,"[{'title': 'HIS子会社の不正\u3000GoToの悪用許されぬ', 'text': '事実なら、詐欺まがいの行為だ。政府の観光支援策「GoToトラベル」が悪用されていたとの疑惑である。 旅行大手エイチ・アイ・エス（HIS）の子会社2社が、宿泊の実態がない取引で補助金を受けていた疑いが持たれている。国土交通省が調査に乗り出した。 この事業は、補助金を原資に旅行会社が宿泊料金などを割り引き、需要を喚起するものだ。 新型コロナウイルス禍で、2社が確保していたホテル客室に予約が入らなかった。このため1万8000泊を超える宿泊があったと偽って申請し、補助金で損失を穴埋めしていた可能性がある。 HISは関係者の聞き取り調査を始めたが、記者会見は開かず、詳細を明らかにしていない。説明責任を果たすべきだ。 別々の子会社でたまたま同じ事態が起きていたというのも不自然だ。ホテルの運営会社はHISの元社長が経営している。組織ぐるみではなかったか、十分な検証が求められる。 トラベル事業は年明け以降の再開が検討されている。事実が解明されるまで、HISグループを補助対象から外すのが妥当だろう。 政府の責任も問われる。 所管は国交省だが、実務は観光業界で構成する事務局「ツーリズム産業共同提案体」に委託している。旅行会社などが人材を派遣し、申請書類の審査や支払いの作業にあたっている。いわば仲間内でチェックする構図だ。 書類には利用者名や宿泊日程などを記載するが、裏付けとなる帳簿などを提出する必要はない。 これで公正な審査ができるのだろうか。申請時に見抜くことはできなかったのか、事務局の対応にも疑問が残る。 会計検査院は昨年度決算の検査報告で、GoTo事業の予算執行を政府が十分に監督できていないと指摘した。審査体制に問題を残したままでは、再開しても同じことが繰り返されかねない。問題点を洗い出し、制度を改善することが先決である。 巨費を投じたコロナ対策では、中小企業支援の持続化給付金などでも不正が相次いだ。委託事業者に事務を丸投げするばかりでは、政府は管理責任を果たせない。'}]"
jp_newspapers,"[{'title': '漫画家の白土三平さん死去\u300089歳\u3000「カムイ伝」「忍者武芸帳」', 'text': '「カムイ伝」などで知られる漫画家の白土三平（しらと・さんぺい、本名・岡本登＝おかもと・のぼる）さんが8日、誤嚥（ごえん）性肺炎のため亡くなった。89歳。葬儀は近親者で営んだ。 東京都生まれ。父はプロレタリア画家の岡本唐貴。画家を目指すが、第二次世界大戦後、家計を支えるために旧制中学校を中退、紙芝居…'}]"
jp_newspapers,"[{'title': '外交的ボイコット\u3000五輪、またも政治の渦中\u3000人権問題、米中綱引き', 'text': 'バイデン米政権は、人権問題を理由に北京冬季五輪・パラリンピックの「外交的ボイコット」に踏み切った。中国は「スポーツの政治利用だ」と強く反発する。「平和の祭典」という掛け声とは裏腹に、五輪は再び、政治的な対立の渦に巻き込まれている。米中の衝突が五輪の場でもあらわになった。 「米国が声を上げ行動すれば、世界が耳を傾けてくれる」。米国務省のプライス報道官は6日の記者会見で、中国新疆ウイグル自治区での人権問題について、関心を強めるよう国際社会に呼びかけた。 バイデン政権の念頭にあるのが、9、10両日にオンライン形式で開催する「民主主義サミット」だ。世界の約110の国・地域を招き、専制主義と位置づける勢力からどのようにして民主主義を守り、促進させるかを議論する。民主的な価値を共有する国・地域で結束して中国に対抗する狙いもあり、招待されなかった中国は開催に猛反発している。'}]"
jp_newspapers,"[{'title': '年明けに流れ星みられるの？\u3000しぶんぎ座流星群、4日午前、絶好の条件＝回答・池田知広', 'text': 'なるほドリ\u3000この間、ふたご座流星群を見たよ！\u3000年明けにも流れ星が見られるんだって？ 記者\u3000しぶんぎ座流星群ですね。2022年1月4日午前に最も多くの流星を見られます。12月のふたご座流星群、8月のペルセウス座流星群と並ぶ3大流星群の一つで、他二つと比べるとやや地味ですが、今回は月が出ていないため、国立天文台は「近年まれに見る絶好の観察条件」としています。流星は4日午前1時ごろから見え始め、午前5時台に最も多く見られるので、夜更（よふ）かしか早起きが必要ですね。十分暗ければ1時間に50個ほど見られるかもしれません。'}]"
jp_toxic,"[{'text': 'なめてるな', 'label': 1, 'categories': '迷惑行為', 'all_categories': '卑語 - 差別 - 迷惑行為 - 猥褻 - 出会い・プライバシー侵害 - 違法行為 - 偏向表現'}]"
jp_toxic,"[{'text': 'とんかつできるなら余裕だろ', 'label': 0, 'categories': 'None', 'all_categories': '卑語 - 差別 - 迷惑行為 - 猥褻 - 出会い・プライバシー侵害 - 違法行為 - 偏向表現'}]"
jp_toxic,"[{'text': 'また並ぶか', 'label': 0, 'categories': 'None', 'all_categories': '卑語 - 差別 - 迷惑行為 - 猥褻 - 出会い・プライバシー侵害 - 違法行為 - 偏向表現'}]"
jp_toxic,"[{'text': '合格した途端メガネキャラをあっさり捨てるあたりもな', 'label': 0, 'categories': 'None', 'all_categories': '卑語 - 差別 - 迷惑行為 - 猥褻 - 出会い・プライバシー侵害 - 違法行為 - 偏向表現'}]"
jp_toxic,"[{'text': '作戦もそうだけど打順も組んでもらおう', 'label': 0, 'categories': 'None', 'all_categories': '卑語 - 差別 - 迷惑行為 - 猥褻 - 出会い・プライバシー侵害 - 違法行為 - 偏向表現'}]"
jp_word_sim,"[{'word1': 'やかましく', 'word2': '騒々しく', 'output': 9}]"
jp_word_sim,"[{'word1': '調査した', 'word2': '採取した', 'output': 4}]"
jp_word_sim,"[{'word1': '際立つ', 'word2': '合う', 'output': 2}]"
jp_word_sim,"[{'word1': '境内', 'word2': '寺内', 'output': 6}]"
jp_word_sim,"[{'word1': '示される', 'word2': '表面化する', 'output': 7}]"
jsnli,"[{'label': 'contradiction', 'sent1': '歩道に立って、ギターを弾き、歌を歌っている男性が、ヒントの入れ物を持って立っています。', 'sent2': '男がギターを弾いて、バーのステージで歌っています。'}]"
jsnli,"[{'label': 'neutral', 'sent1': '砂の中の少女は、２匹の黒犬の１匹にボールを渡しています。', 'sent2': '女の子が愛犬にボールを渡しています'}]"
jsnli,"[{'label': 'entailment', 'sent1': '大人と子供の小さなグループは、大きなガラス窓のある部屋にあり、麺棒を使用しています。', 'sent2': '麺棒を使用するために少数の人々が集まっています。'}]"
jsnli,"[{'label': 'entailment', 'sent1': 'カメラを保持している女性。', 'sent2': '女性はカメラを手に持っています。'}]"
jsnli,"[{'label': 'entailment', 'sent1': '３人の若い女性がパレードでカメラにポーズします。', 'sent2': '３人の女性が写真を撮ります。'}]"
kanji,"[{'kanji': '宗', 'meaning': 'Religion, Sect, Denomination, Main Point, Origin, Essence', 'reading_onyomi': 'しゅう, そう', 'reading_kunyomi': 'むね'}]"
kanji,"[{'kanji': '絀', 'meaning': 'Sew, Stitch, Insufficient', 'reading_onyomi': 'ちゅつ, ちゅち', 'reading_kunyomi': 'あか.い'}]"
kanji,"[{'kanji': '稻', 'meaning': 'Rice Plant', 'reading_onyomi': 'とう, て', 'reading_kunyomi': 'いね, いな-'}]"
kanji,"[{'kanji': '譲', 'meaning': 'Defer, Turnover, Transfer, Convey', 'reading_onyomi': 'じょう', 'reading_kunyomi': 'ゆず.る'}]"
kanji,"[{'kanji': '芧', 'meaning': 'Chestnut Oak', 'reading_onyomi': 'ちょ, しょ, よ', 'reading_kunyomi': 'みくり'}]"
keigo_transfer,"[{'not_keigo': '1932年から、チッソ株式会社はたくさんのアセトアルデヒドを生成していた。', 'keigo': '1932年から、チッソ株式会社はたくさんのアセトアルデヒドを生成していました。'}]"
keigo_transfer,"[{'not_keigo': '好きな歌手はカナダの女性ロッカーのアブリルラビンだと言いました。', 'keigo': 'お好きな歌手はカナダの女性ロッカーのアブリルラビンだとおっしゃいました。'}]"
keigo_transfer,"[{'not_keigo': 'だから、今日はバイクを買っちゃいました。格好よくない中古車ですけど、', 'keigo': 'だから、今日はバイクを買ってしまいました。格好よくない中古車ですけど、'}]"
keigo_transfer,"[{'not_keigo': 'でも友達はもしその理由で別れたら彼がかわいそうだと答えました。', 'keigo': 'しかし友達はもしその理由で別れたら彼がかわいそうだと答えました。'}]"
keigo_transfer,"[{'not_keigo': 'そのとき受付の人から「ちなみに大島先生はしばらく日本に戻りましたので、今日から二月まで、授業が代講になりました。」って言われました。', 'keigo': 'そのとき受付の人から「ちなみに大島先生はしばらく日本に戻りましたので、今日から二月まで、授業が代講になりました。」と言われました。'}]"
kuci,"[{'context': '最近、仕事が忙しいので', 'choices': 'a: プールなんて行けない\nb: 自転車にはほとんど乗れず\nc: 海外旅行どころか国内旅行もほとんど行けません\nd: 帰りに秋葉に寄れません', 'labels': 'd'}]"
kuci,"[{'context': 'メールで細かな連絡を頂けたので', 'choices': 'a: ご指導いただければ嬉しい\nb: 結果も当然変わらない\nc: 教えられる方は混乱します\nd: 一切不安はない', 'labels': 'd'}]"
kuci,"[{'context': 'あまり雪が降らないので', 'choices': 'a: 辺りが暗い\nb: 雪景色がなんだか新鮮だ\nc: 道後温泉も近くと、立地は最高だ\nd: 中々洗濯物が乾かなかったりする', 'labels': 'b'}]"
kuci,"[{'context': '狭いアーケードに木の台を並べての商売、冷蔵設備があるわけじゃないので', 'choices': 'a: ポスト投函でのお届けとなります\nb: 珍しくスーツでお出かけすることになります\nc: 汚く見えるのは非常に残念だ\nd: 朝早めに買いに行かないと鮮度がおちる', 'labels': 'd'}]"
kuci,"[{'context': 'もんちゃん一派が作り上げた会社に違いないから', 'choices': 'a: もんちゃんに頭下げるしかない\nb: 十分な計画の下、早めの取り組みが必要だ\nc: 有料レッスンや有料研修を受けなければならない\nd: 従来通りの部分が不出来として目立つ', 'labels': 'a'}]"
kyoto_web_ncf,"[{'word': '利用率向上', 'related': '施設、サービス、発電、水田、申請、機械、ユーザー、輸送、駐輪場、路線'}]"
kyoto_web_ncf,"[{'word': '古民家', 'related': '屋根、時代、日本、茅葺き、作り、沖縄、飛騨、田舎、地方、初期'}]"
kyoto_web_ncf,"[{'word': '建物調査', 'related': '一戸建て、マンション、住宅、事務所、物件、為、事前、民間、戸建、事業'}]"
kyoto_web_ncf,"[{'word': '南東海上', 'related': '日本、北海道、関東、半島、宮古島、九州、諸島、南大東島、本州、沖縄'}]"
kyoto_web_ncf,"[{'word': '発生消長', 'related': '成虫、病害虫、害虫、雑草、油虫類、年間、油虫、稚木、細菌病、ヒシモンヨコパイ'}]"
